SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416736;S.A.F. PRAHA spol s.r.o;Vybiralova 975;Praha 9;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416731;Bürkert Contromatic GmbH AT;Krenova 35;Brno;602 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416760;OERLIKON BALZERS COATING AUSTRIA GM;Cerveny Kriz 282;Jihlava;586 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416744;Systemy jakosti s.r.o.;Horni 1687/30;Zdar nas Sazavou;591 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416594;Grand Hotel Zvon, s.r.o.;Nam. Pr. Otakara II 90/28;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416584;KGF HYDRAULIKA s.r.o.;Herspicka 13;Brno;656 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416785;MSSL Advanced Polymers s.r.o.;Dasicka 287;Dolni Redice;533 75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405214;BOS Plastics Systems GmbH;Buchenteich 3;Aichwald;73773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411184;SANKOV, spol. s.r.o.;Vesec;Kovarov;398 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
980455;Vaclav Adámek - AVA Marketing;U. Rourovny 837;Ostrava-Svinov;721 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2816;IMS Gear GmbH;Heinrich-Hertz-Str. 16;Donaueschingen;78166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411211;PROPOM s.r.o.;Novohradska 21;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411215;KOMINICTVI JAN TESAREK;Vit. Novaka 30;Ceske Budejovice - Roznov;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411216;CEET s.r.o.;Ruprechticka 749/117;Liberec 14;460 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411227;OBZOR, vyrobni druzstvo Zlin;Na Slanici 378;Zlin;764 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411228;LK PARTNER s.r.o.;Dukelskych hrdinu 34;Praha 7;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411229;STRYHAL stroje a naradi s.r.o.;Prazska 288;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411255;Duropack Bupak Papirna s.r.o.;Papirenska 41;Ceske Budejovice;370 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411256;HOBERO spol. s.r.o.;Arbesova 866/III;Rokycany;337 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411183;COLOR STUDIO s.r.o.;Skuhrskeho 2545;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411185;IVAR CS spol. s.r.o.;Vanickova 5;Praha 6;160 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411273;TOMO TANK, spol. s.r.o.;Kostelni 34;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411274;O.T.E.C. CR, s.r.o.;Logistic Park Tulipan;Hostivice - Palouky;253 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411275;Hynek Smakal;Fr. Skroupa 643/1;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411288;DATART INTERNATIONAL a.s.;Pernerova 35;Praha 8;186 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411289;CB ocel s.r.o.;Zachariasova 24;Ceske Budejovice 1;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411290;SAP CR spol. s.r.o.;Pekarska 621/7;Praha 5;155 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411291;Rychly TOM s.r.o.;Nam. Osvobozeni 116;Hranice 4 -Drahotuse;753 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805053;Formatecnica SA. de CV;Calle Ind. Elec., 11;Tlalnepantla;54080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805060;*FREI*;Circuito El Marques Norte No 23-B;El Marques;76246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
809999;Not realised Exchange Rate diff. -;Orkuzni 607;Cekse Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421464;B&B ELEKTRO;Taborska 538;Benesov;256 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411940;HS Products Engineering;Lilienthalstr. 3;Gilching;82205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4598;STEINWALD datentechnik GmbH;Oskar-Loew-Straße 12;Marktredwitz;95615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419177;TECH-LIT s.r.o.;U Trati 63;Hradec Kralove;500 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419198;PEBAL s.r.o.;U Mexika 1339;Nyrany;330 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419163;HYDAPRESS CZ s.r.o.;Humpolecka 13/1;Jihlava;586 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419269;CHARTIS EUROPE S.A.;V Celnici 1031/4;Praha 1;110 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418877;TECHKON s.r.o.;Brezohorska 253;Pribram VII;261 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419143;Jaroslav Vitousek;Vodnanskeho 1402;Tabor 2;390 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Heinrich Erdmann GmbH & Co.;Ihmerter Straße 207;Hemer;58675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4448;Heinrich Erdmann GmbH & Co.;Ihmerter Str. 207;Hemer;58675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414724;MINESA s.r.o.;Predcicka 613;Tyn nad Vltavou;375 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417297;ALFATECH STOLANY s.r.o.;Stolany 115;Hermanuv Mestec;538 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417444;NOVATO spol. s r.o.;Uralska 6;Praha 6;160 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417494;MEIBES s.r.o;Bohnicka 28/5;Praha 8;181 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417523;DHL Automotive s.r.o.;Anny Letenske 7;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418992;SAINT GOBAIN ABRASIVES s.r.o.;U Vystaviste 1485;Ceske Budejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419270;TRESERVIS s.r.o.;Pekarenska 644;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417895;Petr Buric;Kozinova 4;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419335;Ing. FILIP ALLIZAR;Ohrazeni 52;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419309;MIPAV s.r.o.;Borovnice 5;Borovnice u St. Paky 1;544 77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;GESPERRT - BRUDERER GMBH;Kieferstr. 28;Dortmund;44225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419225;WIKA-MESSGERÄTEVERTRIEB;Perfektastrasse 83;Wien;1230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419226;A-DESIGN reklamni studio;Husova tr. 1847/5;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1354;Hans-Peter Sigwart GmbH;Schönbühlstr. 27;Villingen-Schwenningen;78052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418135;Q.I.P. s.r.o.;Sokolova 32;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418629;KRPA FORM a.s.;Dolni Branna 122;Dolni Branna;543 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419126;EVERFIT hydraulika s. r. o.;Novohradska 736/36;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419244;Schleifring Service GmbH;Kurt-A.Körber-Chaussee 63-71;Hamburg;21033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
