SAP è.;Název;Ulice;Mìsto;PSÈ;DIÈ;IÈ
682;Panalpina Welttransport GmbH;Rudolf-Diesel-Straße 2;Kornwestheim;70806;DE149147437;
401860;Toptrans s. r. o.;Litvinovice 32;Ceske Budejovice;370 01;CZ25135881;25135881
401942;UNITED PARCEL SERVICE;K letisti 57/1049;Praha;161 00;CZ25684094;25684094
402139;GEIS CZ s.r.o.;Zemská 211/I 128;Ejpovice;337 01;CZ44567359;44567359
402306;Schenker spol. s.r.o.;K Vypichu 1087;Rudna u Prahy;252 19;CZ61500780;61500780
402312;Gebrüder Weiss spol. s.r.o.;Prumyslova 477;Jenec;252 61;CZ44795092;44795092
402581;Josef Vavra,  s.r.o.;Pekarenska 255/77;Ceske Budejovice;370 04;CZ26071738;26071738
402628;TNT EXPRESS WORLDWIDE, spol. s.r.o.;Na Radosti 413;Praha 5;155 21;CZ15888959;15888959
403707;TRANSFORWARDING a.s.;K. Uhlire 42;Ceske Budejovice;370 06;CZ14498979;14498979
407111;CSAD JIHOTRANS a.s.;Pekarenska ul 255/77;Ceske Budejovice;370 21;CZ25171216;25171216
409453;DHL Express (Czech Republic) s.r.o.;nam. Sv. Cecha 3, cp. 516;Ostrava-Privoz;702 00;CZ25683446;25683446
410916;Kuehne & Nagel, spol. s r.o.;Pekarska 7;Praha 5;155 00;CZ45787115;45787115
414220;TOPTRANS EU a.s.;U Plynarny 99;Praha 10;101 36;CZ28202376;28202376
414409;Federal Express Czech s.r.o.;Vodickova 37/707;Praha 1;110 00;CZ27139981;27139981
416808;LUMI Freight spol. s.r.o.;Vaclava Klementa 1459;Mlada Boleslav;293 01;CZ28526210;28526210
417084;DACHSER Czech Republic a.s.;Pekarenska 77;Ceske Budejovice;370 04;CZ27090833;27090833
417523;DHL Automotive s.r.o.;Anny Letenske 7;Praha 2;120 00;CZ25634917;25634917
421181;JAS FORWARDING (CZECH) s.r.o.;Luzna 716/2;Praha 6;160 00;CZ27062198;27062198
422750;Martina Bila - zasilatelstvi;Olesna 118;Pelhrimov;393 01;CZ7061261515;7061261515
422751;PANALPINA CZECH S.R.O.;Na Hurce 1077/4A;Praha 6 - Ruzyne;161 00;CZ26427877;26427877
423465;Quehenberger Logistika d.o.o.;Letaliska cesta 16;Ljubljana;1000;SI34015302;
423928;Allsport Cargo Services Czech s.r.o;Westpoint Distribution Park, 949/11;Praha 6;161 00;CZ28157991;28157991
