12.08.2013                                                                                                                                                                                                                                                                                                                                                                                               Dynamický výstup seznamu                                                                                                                                                                                                                                                                                                                                                                                                      1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Tabelle KNB1 - Kmen.soub.zákaz.(úè.okruh);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Klient;SAP è.;Název;Ulice;Mìsto;PSÈ;Fax;Internet;Odl.úè.pl.;PlatPodDob;Èinnost;Rozdìlení;KlíèOpráv;StPotvÚèOk;Dat.potvr.;ÈasPotvr;Bl.výmazu;Telefon;Znak cese;StZdDanì;Exekuce
;;;;;;;;;;;;;;;;;;;;;
;100;312684;SBERSUR s.r.o.;Lipi 4;Dubne, Ceske Budejovice;373 84;;;;;;;;;;0:00:00;;;;;
;100;312758;HrubyMOVING s.r.o.;Kostelecka 879;Praha 9;196 00;;bujarkova@hrubymoving.cz;;;;;;;;0:00:00;;;;;
;100;303565;OPED GmbH;Medizinpark 1;Valley;83626;;;;;;;;;;0:00:00;;;;;
;100;300393;Fasching Salzburg GmbH;Hellbrunner Straße 11;Salzburg;5020;66284272323;erda.schwab@faschingsalzburg.com;;;;;;;;0:00:00;;66284272-126;;;
;100;301222;Holecek Miroslav Ing. - ZARON;Mlynska 172/2;Ceske Budejovice;370 01;;;;;;;;;;0:00:00;;;;;
;100;301223;Sropatex s. r. o.;Suchomelska 10;Ceske Budejovice;370 06;;;;;;;;;;0:00:00;;;;;
;100;301224;ITW Automotive Products;Bahnhofstrasse 50A;Hodenhagen;29693;;;;;;;;;;0:00:00;;;;;
;100;301272;Merab spol. s.r.o.;Dobrovodska 129;Ceske Budejovice;370 06;;;;;;;;;;0:00:00;;;;;
;100;301273;Motor Jikov Tlakova slevarna a.s.;Knezskodvorska 2277/26;Ceske Budejovice;370 04;;;;;;;;;;0:00:00;;;;;
;100;301274;Mipe Trans s.r.o.;Dvorakova 21;Ceske Budejovice;370 01;;;;;;;;;;0:00:00;;;;;
;100;301965;Stanztechnik und Werkzeugbau;Industriestrasse 10;Idar-Oberstein;55743;;;;;;;;;;0:00:00;;;;;
;100;301986;Ipsen International GmbH;Fllutstr. 78;Kleve;47533;;;;;;;;;;0:00:00;;;;;
;100;302016;TCG UNITECH Lth-ol d.o.o.;Vincarje 2;Skofja Loka;4220;;;;;;;;;;0:00:00;;;;;
;100;310093;Ebbtec GmbH;Höhscheider Weg 31;Solingen;42699;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;301285;STG Svensk Tryckjutning;BOX 5; Vimmerby;59821;;;;;;;;;;0:00:00;;;;;
;100;301286;MSSL Polymers GmbH;Osterlängstr. 60;Schwäbisch Gmünd-Lindach;73527;;;;;;;;;;0:00:00;;;;;
;100;301315;KVALITA - druzstvo sluzeb;Prazska 1249/28;Ceske Budejovice;370 04;;;;;;;;;;0:00:00;;;;;
;100;301354;Dolomit spol. s r. o.;Lannova 22;Ceske Budejovice;370 01;;;;;;;;;;0:00:00;;;;;
;100;301362;HS Products Engineering GmbH;Frauenstr. 43;Maisach;82216;;info@hsp-engineering.de;;;;;;;;0:00:00;;;;;
;100;302049;CESKY TELECOM a. s.;Olsanska 55/5;Praha 3;130 34;;;;;;;;;;0:00:00;;;;;
;100;302060;Kappa Packaging Czech s.r.o.;Skandinavska 1000;Zebrak;267 53;;;;;;;;;;0:00:00;;;;;
;100;301401;Dätwyler Schweiz AG;Militätstrasse 7;Schattdorf;6467;;;;;;;;;;0:00:00;;;;;
;100;304263;Kunstdünger oHG;Industriezone Vetzan 112;Schlanders (BZ);39028;;kko@kunst.it;;;;;;;;0:00:00;;;;;
;100;304279;Schieffer GmbH & Co. KG;Am Mondschein 23;Lippstadt;59557;;;;;;;;;;0:00:00;;;;;
;100;305302;SPIROFLEX LIMITED;MAIDSTONE ROAD, KINGSTON;MILTON KEYNES BUCKS;MK10 0BH;;;;;;;;;;0:00:00;;;;;
;100;571056;Schweizer FT VerwaltungsGmbH;Keltenstraße 16;Reutlingen-Mittelstadt;72766;;;;;;;;;;0:00:00;;;;;
;100;571066;Bruker-Spaleck GmbH;Berneckstr. 72;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;571077;Eberle Rieden GmbH;Im Tal 22;Rieden;87669;;nicole.maier@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;571078;Prometall Maschinenbau GmbH;Augsburger Straße 24;Roßhaupten;87672;;;;;;;;;;0:00:00;;;;;
;100;571088;Sächsische Nadel-und Platinenfabrik;Mauersbergerstr. 14;Chemnitz;9117;3715627300;;;;;;;;;0:00:00;;;;;
;100;571091;C.D. Wälzholz-Kern-Liebers GmbH;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;572020;Saxonia International BV;Stationstraat 30;Meerssen;6231 CM;;;;;;;;;;0:00:00;;;;;
;100;572033;Kern-Liebers Ltd.;7 Corringham Road;Gainsborough;DN21 1QB;;dawn.waters@kern-liebers.co.uk;;;;;;;;0:00:00;;;;;
;100;572050;Haase + Kühn Portuguesa;Rua Duque de Loulé 2090;V.N. Famalicao;4760-333;1252322508;haase_kuhn@net.vodafone.pt;;;;;;;;0:00:00;;;;;
;100;572053;KERN-LIEBERS TMG S.A.;Ctra. Santiga 86;Ripollet (Barcelona);8291;;rosario.carbonell@kern-liebers-tmg.es;;;;;;;;0:00:00;;937299710;;;
;100;572063;Kern-Liebers Italia S.r.l.;Via Luigi Raspini 22;Settimo Torinese;10036;;cornelia.prenner@kern-liebers-italia.com;;;;;;;;0:00:00;;;;;
;100;572069;KERN-LIEBERS ITALIA S.r.l.;Via Vienna 14;Bottanuco;24040;35906425;anna.goisis@kern-liebers-italia.com;;;;;;;;0:00:00;;(0)35 90 74-82;;;
;100;572070;Haase & Kühn S.A.;Rue de la Rinche 3;Les Geneveys s/Coffrane;2206;;;;;;;;;;0:00:00;;;;;
;100;312529;Elodrive GmbH;Sappeloh 112;Warmsen;31606;;;;;;;;;;0:00:00;;;;;
;100;312130;United Automotive Electronics;15 Changjiang Road;Wuxi - Jiangsu;214028;;Qijiong.zhu@uaes.com;;;;;;;;0:00:00;;;;;
;100;312197;BWI North America;2582 East River Road;Moraine;45439;;Antwan.Kelly@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;312244;Athos Elektroteknik;Amusaga Sok. No 127/A;Velimese-Corlu;59850;;;;;;;;;;0:00:00;;;;;
;100;308235;Weißer + Griesshaber GmbH;Waldstr. 11;Mönchweiler;78087;;;;;;;;;;0:00:00;;;;;
;100;300623;Denso Manufacturing Hungary Ltd;Holland fasor 14;Szekesfehervar, Hungary;8000;;a.kis@denso.hu;;;;;;;;0:00:00;;;;;
;100;307946;GALVA - Vaclav Chmela;Sedlackova 6;Pisek;397 01;;;;;;;;;;0:00:00;;;;;
;100;6099;Autoliv KLE S.A.;Carretera C-17, KM. 17.5;Granollers (Barcelona);8400;;;;;;;;;;0:00:00;;;;;
;100;27;Joh. Friedrich Behrens AG;Bogenstraße  43 - 45;Ahrensburg;22926;410278135;junge@bea-group.com;;;;;;;;0:00:00;;0410278-124;;;
;100;300556;TRW Carr s.r.o;Hlavenec 136;Stara Boleslav;250 02;;;;;;;;;;0:00:00;;;;;
;100;300580;RESISTEC d.o.o. & Co. k.d.;Krska c. 8;Kostanjevica/Krki;8311;;samira.bacelic@resistec.si;;;;;;;;0:00:00;;;;;
;100;301436;Atlas Aluminium Ltd.;Atlas Avenue;Limerick;0;;;;;;;;;;0:00:00;;;;;
;100;301450;Mojha Petr;Libusina 1;Ceske Budejovice;370 06;;;;;;;;;;0:00:00;;;;;
;100;301461;ERWE Rheinwerkzeuge KG;0;Diztingen;0;;;;;;;;;;0:00:00;;;;;
;100;301462;Lucas - TECH s. r. o.;Kozeluzska 292;Trebic;674 83;;;;;;;;;;0:00:00;;;;;
;100;302131;Iberofon Plásticos S.A.;Pol. Ind. Miralcampo, c/ Aluminio 4;Azuqueca de Henares, Guadalajara;19200;;;;;;;;;;0:00:00;;;;;
;100;310094;BeijingWest Industries Co., Ltd;NO.1 Jiaodao Dongxi Street;Beijing;102433;;quanxiu.yang@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;301480;UNGUELTIG;Cronenfelderstr. 2A - 4;Wuppertal-Cronenberg;42349;;kerstin.pawlenka@gsfedern.de;;;;;;;;0:00:00;X;;;;
;100;301505;Horst Hähl GmbH;Postfach 5;Dusslingen;72142;;;;;;;;;;0:00:00;;;;;
;100;302142;Continental Automotive Czech Rep.;Hradecka 1092;Jicin;506 01;;;;;;;;;;0:00:00;;;;;
;100;302151;C.S. CARGO a. s.;Hradecka 1116;Jicin;506 01;;;;;;;;;;0:00:00;;;;;
;100;302157;Ceskobudejovicke pozemni stavby;Zizkova 12;Ceske Budejovice;371 22;;;;;;;;;;0:00:00;;;;;
;100;302160;KOH-I-NOOR- HARDTMUTH;F. A. Gerstnera 21/3;Ceske Budejovice;371 30;;;;;;;;;;0:00:00;;;;;
;100;300622;Eurel d.o.o.;Bistriska 54;Poljcane;2319;;;;;;;;;;0:00:00;;;;;
;100;300662;Autoliv (Nanjing) Vehicle;19 Hengyi Road;Nanjing;210038;;Liping.Han@Autoliv.com;;;;;;;;0:00:00;;;;;
;100;301535;ATHOS ELEKTRIK SISTEMLERI;Avrupa Serbest Boelgesi;Velimese-Corlu;59860;2826911149;bahadir.kantar@athos.com.tr;;;;;;;;0:00:00;;2826911-150;;;
;100;301556;Josef Vavra - Autodoprava;Vl. Rady 38;Ceske Budejovice;370 08;;;;;;;;;;0:00:00;;;;;
;100;301566;Elodrive GmbH;Potsdamer Straße 12;Minden;32423;;;;;;;;;;0:00:00;;;;;
;100;301582;INA Lanskroun, s.r.o.;Dvorakova 328;Lanskroun;563 01;;;;;;;;;;0:00:00;;;;;
;100;108088;UNGUELTIG;MINICKA 635;KRALUPY NAD VLTAVOU;278 01;;;;;;;;;;0:00:00;X;;;;
;100;301600;Continental TEVES Taiwan Co., Ltd.;75, Cheng Gong Str.;Tainan Hsien;0;;;;;;;;;;0:00:00;;;;;
;100;301630;UNGUELTIG;Holzheimer Straße 4;Göppingen;73037;;jochen.bohnacker@saxonia-int.de;;;;;;;;0:00:00;X;;;;
;100;301635;Wolfcraft SK s.r.o.;Dunajskostredska 600;Male Dvorniky;929 01;;;;;;;;;;0:00:00;;;;;
;100;301651;Vavra Josef, s. r. o.;Nemanicka 2208/16;Ceske Budejovice;370 10;;;;;;;;;;0:00:00;;;;;
;100;300001;TRW Occupant Restraint;Mattseer Landesstr. 8;Bergheim;5101;;;;;;;;;;0:00:00;;;;;
;100;300009;GWS Produktion Handel Service GmbH;Fürbergstrasse 27;Salzburg;5020;;;;;;;;;;0:00:00;;;;;
;100;300741;ARGE 2000 Kft;Bánki Donát u. 29;Gyál;2360;29540067;angi@arge2000.com;;;;;;;;0:00:00;;29540-062;;;
;100;311979;CZ Retezy, s.r.o.;Tovarni 202;Strakonice;386 01;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;300825;Kiekert - CS, s.r.o.;Gorkého 1830;Pardubice;530 02;;MelechovskaJ@kiekert.cz;;;;;;;;0:00:00;;;;;
;100;300993;TachoPlast s.r.o.;Oldrichovska 1437;Tachov;347 29;;;;;;;;;;0:00:00;;;;;
;100;301782;Arnold & Stolzenberg GmbH;Juliusmühle;Einbeck;37574;;;;;;;;;;0:00:00;;;;;
;100;309801;Shanghai Automotive;385 Zhaoxian Road;Shanghai, Jiading;201821;;qingh@saco.saic.com.cn;;;;;;;;0:00:00;;;;;
;100;301041;TRCZ s.r.o.;Prumyslova 1165;Lovosice;410 02;416421555;denisa.kelly@trcz.cz;;;;;;;;0:00:00;;0416421-304;;;
;100;300342;Moravan SB, s.r.o.;Letiste 1065;Otrokovice;765 81;;;;;;;;;;0:00:00;;;;;
;100;309957;Valeo Equipements;10 Rue du Revolay;Saint-Quentin-Fallavier;38070;;antoine.chanois@valeo.com;;;;;;;;0:00:00;;;;;
;100;301126;ITW Pronovia s.r.o.;Vikovská 595;Velká Bítes;595 01;566788824;;;;;;;;;0:00:00;;566/788-869;;;
;100;301872;PORSCHE INTER AUTO CZ s. r. o.;Vrchlickeho 31;Praha 5;150 00;;;;;;;;;;0:00:00;;;;;
